Question,Answer
Hey,Hello! I'm KiiT Chat bot. How may I help you?
How are you,Hello! I'm KiiT Chat bot. How may I help you?
Is anyone there?,Hello! I'm KiiT Chat bot. How may I help you?
Whats up,Hello! I'm KiiT Chat bot. How may I help you?
Hi,Hello! I'm KiiT Chat bot. How may I help you?
Hello,Hello! I'm KiiT Chat bot. How may I help you?
Good day,Hello! I'm KiiT Chat bot. How may I help you?
Issues related to Email,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
I am facing problems in my Email,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
E-mail not working,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
Kiit email is not working,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
My email account is not working,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
Email is not synchronized,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
Email not functioning properly,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
Email account issues,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
Cannot access my Email,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
Email connection problems,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
Email not working,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
Having problems while mailing,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
Email issue unresolved,Can you please elaborate the exact problem- Is it regarding the password or email being blocked?
I have forgotten the email password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
Forgot my email password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
email password forgotten,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
I have forgot the kiit email password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
i dont remember my email password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
Password of KIIT email forgotten.,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
Password of KIIT email forgotten.,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
email pass out,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
not remembering my kiit mail id password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
KIIT email password not matching,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
How to recover my password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
I'm unable to recall my KIIT email Id password.,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
How to recover my password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
email password lost,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
I don't know my email password.,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
Unable to recover Gmail password,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
Email password incorrect,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
Email password reset required,Ask your tutor mentor to mail us with your Email-ID and verify you are their mentees. After that we can send you a new password.
