Questions,Answers
Ubuntu Installation,"Please follow this link to install the latest version of Ubuntu   https://ubuntu.com/download/desktop
"
Virtualbox Installation,Please follow this link to install the latest version of VirtualBox: <a href=' https://www.virtualbox.org/wiki/Downloads' target='_blank'>Link</a>
Autocad Installation,"Please Follow this link to install Autocad: https://www.autodesk.com/education/students, For assistance with the setup kindly watch: https://www.youtube.com/watch?v=tOZbwc3wVUE
You need to register as a Student and download the software (Autocad) from it."
Scilab Installation,"Please follow this link to install SCILAB: https://www.scilab.org/download/scilab-2023.0.0
"
Java Installation,Please follow this link to install Java: https://www.java.com/en/download/
Netbeans Installation,"Please follow the link to install netbeans: https://netbeans.apache.org/download/index.html
Apache NetBeans 12 LTS (NB 12.0)"
Oracle Database Installation,Please follow the link to install oracle database: https://www.oracle.com/database/technologies/xe-prior-release-downloads.html
Wps Office,Please follow the link to install Wps Office:https://www.wps.com/
Mozilla Firefox Installation,Please follow the link to install Mozilla Firefox:https://www.mozilla.org/en-US/firefox/new/
Google Chrome Installation,Please follow the link to install Chrome: https://www.google.com/intl/en_in/chrome/
C Cleaner Installation,"Please follow the link to install C cleaner: https://www.ccleaner.com/ccleaner/download
"
Adobe Reader Installation,"Please follow the link to install Adobe Reader: https://get2.adobe.com/reader/
Un-tick all the optional offers and download acrobat reader and install"
Winrar Installation,"Please follow this link to install Winrar: 
https://www.win-rar.com/download.html?L=0"
Charger issues,Please refer to the following link for any kind of issues with laptop charging: https://www.youtube.com/watch?v=UxM-TZ-SuSA
Charging issues,Please refer to the following link for any kind of issues with laptop charging: https://www.youtube.com/watch?v=UxM-TZ-SuSA
not taking charge,Please refer to the following link for any kind of issues with laptop charging: https://www.youtube.com/watch?v=UxM-TZ-SuSA
laptop not charging,Please refer to the following link for any kind of issues with laptop charging: https://www.youtube.com/watch?v=UxM-TZ-SuSA
facing problems with the charger,Please refer to the following link for any kind of issues with laptop charging: https://www.youtube.com/watch?v=UxM-TZ-SuSA
charger not working,Please refer to the following link for any kind of issues with laptop charging: https://www.youtube.com/watch?v=UxM-TZ-SuSA
Battery overheating,Kindly refer to the following link in case you're facing issues with battery : https://youtu.be/7TqFqWNx8hc
battery issues,Kindly refer to the following link in case you're facing issues with battery : https://youtu.be/7TqFqWNx8hc
battery bakup issues,Kindly refer to the following link in case you're facing issues with battery : https://youtu.be/7TqFqWNx8hc
battery exhausts easily,Kindly refer to the following link in case you're facing issues with battery : https://youtu.be/7TqFqWNx8hc
Keyboard issues,In case you're facing issues related to the keyboard go through the link mentioned : https://www.youtube.com/watch?v=Prey7JzybO8
