Question,Answer
Hey,Hello! I'm KiiT Chat bot. How may I help you?
How are you,Hello! I'm KiiT Chat bot. How may I help you?
Is anyone there?,Hello! I'm KiiT Chat bot. How may I help you?
Whats up,Hello! I'm KiiT Chat bot. How may I help you?
Hi,Hello! I'm KiiT Chat bot. How may I help you?
Hello,Hello! I'm KiiT Chat bot. How may I help you?
Good day,Hello! I'm KiiT Chat bot. How may I help you?
Issues related to wifi,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
I am facing wifi problems,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
I am having problem in connection Wifi,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
wifi not working,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
wifi disconnected,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Problem in KIIT wifi,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
i cannot access my wifi,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi Malfunctioning,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
upgrade the system,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Network is very slow most of the time.,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Wifi speed and bandwidth connection is very low,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Very slow speed,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
The internet speed is too slow and is creating hindrance while surfing,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
speed is too low ,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
Network down,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
no wifi,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
no signal,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
KIIT Wi-fi isn't functioning properly.,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
wi-fi down,"KiiT wifi allows 15Gb/week. If not, you might have exhausted you limit. you can mail at:'helpdesk@kiit.ac.in' to resolve the issue"
